12.6	0
26.6	0
43.6	0
62.1	0
75.6	0
89.7	0
15	1
29.9	1
44.5	1
58.4	1
73.6	1
86	1
12.8	2
28	2
45.1	2
61.8	2
77	2
95.2	2
17.3	3
33.7	3
50.6	3
70.9	3
86.4	3
14.7	4
27.1	4
43.4	4
56	4
71.4	4
88.3	4
13.2	5
39	5
65.2	5
88.2	5
13	6
30.2	6
46.5	6
59	6
73.3	6
88.5	6
19.2	7
40.2	7
59.6	7
78.4	7
98.6	7
12.8	8
32.3	8
46.3	8
63.2	8
82.4	8
98.9	8
11.7	9
26.1	9
40.8	9
58.7	9
74.2	9
88.3	9
14.4	10
28.9	10
44.2	10
59.3	10
76.5	10
89.6	10
18.8	11
35.1	11
51.8	11
68.9	11
85.7	11
12.5	12
26.1	12
44.4	12
57.3	12
73.9	12
90.7	12
17.7	13
41.6	13
57.7	13
76	13
94.9	13
13.1	14
29.2	14
47.1	14
64.1	14
79.6	14
93.7	14
14.4	15
29.1	15
44.9	15
59.7	15
73.1	15
88.1	15
13.4	16
29.3	16
42.8	16
58.3	16
72.3	16
85.4	16
18	17
35.2	17
53.6	17
70	17
87.7	17
13.6	18
32.1	18
47.7	18
65.6	18
83.1	18
13.3	19
29.9	19
46.9	19
58.4	19
74.8	19
90.5	19
18.5	20
36.2	20
57	20
74.1	20
95.7	20
13.7	21
31.2	21
46.5	21
63.5	21
86.3	21
13.9	22
33.8	22
50.5	22
68.9	22
88.7	22
11.2	23
31.6	23
52	23
74.7	23
99	23
17.4	24
30.5	24
45.8	24
62.9	24
78	24
93.6	24
19.3	25
36.5	25
50.3	25
67.7	25
89.9	25
11.4	26
29.3	26
47.9	26
63.7	26
76.6	26
95.8	26
13.9	27
32	27
47.4	27
65.3	27
83.1	27
13.1	28
29.6	28
47.4	28
62.6	28
78.2	28
95.1	28
17.2	29
31.1	29
47	29
62.9	29
78.1	29
91	29
14.7	30
30.1	30
48.1	30
65.9	30
82	30
98.1	30
14.1	31
30.2	31
47.5	31
70.5	31
91	31
13.4	32
32.4	32
54.2	32
73	32
91.5	32
12.8	33
33.2	33
49.8	33
67.5	33
82.1	33
14.2	34
32.3	34
51.1	34
69.4	34
89.7	34
13.7	35
26.2	35
41.9	35
55	35
67.7	35
81.8	35
94.5	35
14.1	36
32	36
50.2	36
69	36
85.3	36
11.7	37
25.9	37
39.5	37
51.8	37
64.2	37
75.8	37
88.4	37
21.1	38
38.5	38
53.5	38
71.4	38
91.7	38
12.7	39
28.9	39
41.8	39
56.3	39
71	39
85.6	39
13.8	40
28.7	40
43.9	40
60.6	40
78.9	40
92.4	40
14.3	41
29.8	41
44.7	41
57.9	41
72.1	41
85.8	41
97.4	41
13.7	42
28.6	42
43.6	42
60.9	42
79.8	42
94.9	42
14.3	43
30.4	43
48.1	43
63.9	43
78.7	43
95.6	43
18.9	44
30.8	44
46.1	44
61.4	44
75.6	44
91.1	44
12.9	45
31.5	45
48.2	45
65.9	45
84.7	45
12.8	46
31.1	46
48.7	46
66.9	46
85.9	46
13.8	47
24.5	47
39.6	47
53.4	47
67.4	47
81.1	47
94.1	47
13.5	48
28.1	48
42.4	48
54.3	48
72.4	48
85.3	48
98.5	48
12.5	49
26.6	49
42.4	49
57.9	49
72.8	49
86.3	49
12.8	50
28.2	50
40.5	50
53.5	50
66.8	50
78.6	50
91.7	50
13	51
27.3	51
41.8	51
56.9	51
71.4	51
84.9	51
98	51
20.2	52
37.2	52
55.4	52
72.5	52
91.3	52
12.1	53
25.5	53
40.4	53
53.3	53
66.9	53
80.3	53
94.7	53
21.9	54
41	54
58.1	54
78.5	54
94.5	54
13.6	55
28.8	55
43	55
56.4	55
71.1	55
84.2	55
98.8	55
14.8	56
29.1	56
43.8	56
60.9	56
79.9	56
92.9	56
15.8	57
30.7	57
44.7	57
56.2	57
71.9	57
86.1	57
13.8	58
28.3	58
42.5	58
56	58
68	58
81	58
93.7	58
21.1	59
36.4	59
55.3	59
73.2	59
89.1	59
13.4	60
29.1	60
44.4	60
61	60
77.4	60
95.8	60
12.2	61
31.8	61
50.2	61
67.3	61
84.1	61
19.6	62
33.4	62
48.8	62
65.1	62
81.2	62
97.9	62
13.8	63
27.5	63
43.1	63
57.8	63
71.8	63
86.6	63
98.9	63
13.7	64
30	64
54.3	64
77.1	64
92.8	64
